algorithm,group_name,scenario_type,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,70,0.5440498961303366,0.10008237328488385,0.07218435959519828,0.023396006330579592,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,75,0.5479204412698164,0.0997845823597067,0.0701058194295597,0.02336456704785648,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,80,0.5515094048942958,0.10062458715091695,0.06840852672220238,0.023431648700712536,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,85,0.5549992392178382,0.10080999519198505,0.06686285216622104,0.023300627987488304,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,90,0.5593341250832482,0.1017553411739157,0.06483258746697337,0.02293801954834718,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,95,0.5625057842805579,0.10253661318388321,0.06366720823011728,0.02296372987848027,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,100,0.565435395815034,0.10240084637362326,0.06231268728482422,0.022836432370219605,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,105,0.568048105822041,0.1026081656962279,0.06137312343077972,0.022699164081813713,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,110,0.5699069063228884,0.10251740758825018,0.060394679604224635,0.022444794612150445,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,115,0.5723222633270508,0.10284177922417115,0.05944247009357455,0.022261456390139704,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,120,0.5745319771635093,0.10316682968479933,0.05837716063310759,0.022200454895259392,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,125,0.5759419523948903,0.10265867710039597,0.05776671677605323,0.02205258862875868,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,130,0.577789678224945,0.10225845347444801,0.05678115251528785,0.021653913926295124,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,135,0.5797786540100889,0.10189829174181526,0.0558129547135708,0.021083328175117304,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,140,0.5815818105565846,0.10196900379385362,0.05522456086370443,0.021040528796248643,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,145,0.584506618235368,0.10238770912792318,0.054142763896952585,0.020863934650089837,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,150,0.5862728146484801,0.10175266206365495,0.05337275770947729,0.020493024204407632,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,155,0.5880617646421264,0.10150052482532045,0.05249160280700795,0.020192898318298586,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,160,0.5901408069178427,0.10177197717517569,0.051845318063009946,0.020207614979422143,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,165,0.5920728840159837,0.10216938121031272,0.05135561766944421,0.020087956871713424,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,170,0.5935176599239462,0.10225562166356286,0.050711692122417364,0.020025458721660973,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,175,0.5950039311800686,0.10187706995275396,0.04992882354855764,0.019693052852347216,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,180,0.5965037859179974,0.10237245544306592,0.049469686779702225,0.019666110050009063,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,185,0.597830179666458,0.10231949735007945,0.048998520239162915,0.019547549872584207,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,190,0.5990408991233356,0.10283206373118478,0.048506636276665155,0.019427062202459208,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,195,0.6003217346475396,0.10300226675119796,0.0479300754893456,0.019418858597572707,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,200,0.6020743639459998,0.10346041722626961,0.04740407818311411,0.01936187766458801,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,205,0.603038581431486,0.10351686681739675,0.04702560200114492,0.019227136304309063,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,210,0.6041024353439637,0.1033761074470621,0.04668406462524617,0.019129212910015157,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,215,0.6056476020838454,0.10329624564847735,0.045994758591913744,0.019055937654302354,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,220,0.606757833607448,0.10324156888779241,0.045581612457702154,0.01904151045346409,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,225,0.6081532597424177,0.10296540542098354,0.0450649344426172,0.018963751069068287,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,230,0.609001820563677,0.10288464672002187,0.044767360708499924,0.018830534246127614,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,235,0.6103700713263526,0.1026491344279892,0.04415805858054232,0.018528209245481944,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,240,0.6111803491459233,0.1026215133277586,0.043885824778160124,0.018386641485265837,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,245,0.6116664640708246,0.10277813353696001,0.043820514522668004,0.01842824974761157,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,0,0.421440066741151,0.09993792826530941,0.16794178320630468,0.0715742812090577,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,1,0.4603573493512547,0.07377633173509995,0.13880232571430282,0.04647452755315755,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,5,0.4799148886254628,0.06650864597437264,0.12823964193759008,0.04099239104446841,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,10,0.5052685870200685,0.06267795601527516,0.1149845659220311,0.03763989582274821,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,15,0.515289367465678,0.06054833877447033,0.10927008025268306,0.03502537992968987,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,20,0.523568913382009,0.05851681864387857,0.10419888232651986,0.03215662554374327,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,25,0.5323572195573787,0.0588480379216894,0.09983098386553338,0.03118541467235977,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,30,0.5392018021847212,0.059195875319899574,0.09608381118504732,0.030236474181627667,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,35,0.5462280735234971,0.057858190774728695,0.09125902953944703,0.02746211209184192,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,40,0.5515274028830287,0.0574881614066691,0.08811654259485624,0.02642329290364347,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,45,0.556074984437379,0.057098262220870916,0.08547485920980746,0.02542795869265343,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,50,0.5613340343792312,0.05686361269149991,0.08266630778487187,0.024599229409475912,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,55,0.5662084031814789,0.057175882766842066,0.07962563035612309,0.023899115997092234,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,60,0.5713350468314969,0.0586237745064571,0.0770245168090304,0.023743713549958714,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,65,0.5763284864655146,0.05872561024429957,0.07388111120623748,0.023094549809403588,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,70,0.5804931596709959,0.05913613484123684,0.07180880137317783,0.022848906487453413,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,75,0.5853213685294197,0.06012063369095435,0.06923843795006365,0.022449991164101367,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,80,0.5892591532078673,0.06030896257232867,0.06732174956060352,0.022057278221963218,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,85,0.5923084826096183,0.05997816935796977,0.06586939027700056,0.02172923306576902,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,90,0.5952664198569474,0.06014567432765598,0.06439957064904189,0.021533630884709675,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,95,0.598024079636201,0.06053129541870746,0.06302921805733115,0.02151279999635487,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,100,0.6001719435962436,0.06041648174264398,0.06174087528693863,0.021154090899839835,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,105,0.6026036458727468,0.06093241017160349,0.06034226181590805,0.020744262404801355,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,110,0.6050641777248561,0.06107905551999797,0.05905955246253973,0.020630015130349264,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,115,0.607772590408561,0.06097812263436269,0.057782516983450924,0.020462288738335027,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,120,0.6096083175049554,0.06151406767070975,0.05682033742830581,0.020451438546099102,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,125,0.611489228395779,0.06128792510043361,0.05582414284043767,0.020271776069088015,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,130,0.6135024547651661,0.06127929203370795,0.05482981127291554,0.020072033174744378,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,135,0.6156251975074902,0.06117293644218201,0.053637253940572505,0.01956399365341114,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,140,0.6172864520583514,0.06109136945748725,0.052743408067855456,0.01922834119798363,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,145,0.6191500414839465,0.06137759569807151,0.05173345428445253,0.01896959999057893,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,150,0.6209122830781979,0.061326607049327436,0.05083220026489792,0.018871306961462123,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,155,0.6229349973918946,0.06206032649889009,0.05009766612550189,0.018953910683612296,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,160,0.6247330875593108,0.062344389165300544,0.04932069733253883,0.01878445291450924,80
