scenario_name,scenario_id,C,A,G,AS,highlighted
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,778.5599735728382,1025557.9250811841,47.04478966748878,0.4401169403902205,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,783.3452730613113,1066522.3855861202,45.15262492261281,0.45930615269233743,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,783.4712404879342,1140953.7976873985,42.80238059626917,0.4674989046395925,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,786.5511898666466,907168.1924667172,52.42823472193577,0.4151716054635601,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,789.6083014023712,908709.3524290633,51.59415136873358,0.4245308765629672,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,790.2726626843067,1120778.5181614365,42.70318670799086,0.4613393106635937,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,795.4404994190527,1254110.4351300434,41.85632691617449,0.47719159152819346,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,797.9975978451799,928071.2729068162,50.4437397348612,0.4256659481525884,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,801.1489499925405,932679.0130555896,49.91548062020059,0.406733943521596,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,801.9682114201464,1072416.2834487525,43.18205106184374,0.4772467136300487,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,804.7388120963611,970365.116087737,44.81105971836849,0.4448086056152688,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,809.3929244460078,960735.3552204153,45.29444354327597,0.44327086411416816,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,810.5470358123107,978142.4379731818,44.42775274941748,0.4522032724608286,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,811.6787472140468,946239.4608973145,45.6035921897397,0.4571399633966567,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,812.6849146527725,1159668.9820677238,38.48917824319878,0.48689629321151,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,816.748163212897,931375.0814383017,45.02434443741569,0.4552108362463864,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,822.6931785441558,951157.341865061,42.199522548077326,0.4691561692929904,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,824.368884671459,1129513.831048104,37.70049910684034,0.4978140112453198,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,829.709213360531,984222.3453431216,40.70876415031473,0.4761740315315947,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,830.3769255277624,1047212.7521841864,38.10644900270743,0.5066852477194278,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,830.5292300784428,916591.5884199364,43.69448471448152,0.4614087414647126,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,838.2118054329139,1121996.275445032,35.21459735287993,0.49334894957187747,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,842.6449645975016,1137379.1223548204,34.87561570152624,0.5044168969055204,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,842.7344873803675,873832.3799821571,44.129720085659095,0.43673597924228036,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,844.3519580732539,1155865.9513768705,34.86607247584753,0.501306735638074,
