algorithm,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
nsga2,215,0.3471158689809456,0.16315434082048477,0.2673996727756872,0.20063187930203996,480
nsga2,220,0.3484222831516297,0.16310301133918204,0.26608207520405647,0.19988483310591393,480
nsga2,225,0.34979205130363655,0.1631186577656119,0.26483171376857645,0.19943116653843163,480
nsga2,230,0.35114660958141936,0.1632218184428734,0.26359149455658226,0.19875500333627855,480
nsga2,235,0.3523591779740414,0.1632149750887505,0.2622772700346618,0.19768521011964088,480
nsga2,240,0.3536996852858831,0.16320906765667922,0.2609446609774889,0.1970565952789024,480
nsga2,245,0.35487083952322135,0.16324775390419283,0.25974508136723845,0.19651483157624014,480
nsga2,250,0.2673291397092085,0.1417122940525233,0.37956555382160123,0.2160476461752977,160
nsga2,255,0.26865314253743,0.14160293829759407,0.37795479573786606,0.21542022437524025,160
nsga2,260,0.2698750503763251,0.14176530204765395,0.3765384684914223,0.21468041952251923,160
nsga2,265,0.27150754874567523,0.14187452070562673,0.3746769490668536,0.21409454774520395,160
nsga2,270,0.27276124426102877,0.14196853915875488,0.3732070616247892,0.21361805716245952,160
nsga2,275,0.2741504208909863,0.1419211538982783,0.3714177809579759,0.2128442405345035,160
nsga2,280,0.2753446099546505,0.14211570344301636,0.3699422406048794,0.21253609183646566,160
nsga2,285,0.27662966447583603,0.1421893156698072,0.36851681768823646,0.21191743017830267,160
nsga2,290,0.2779404665999302,0.14183114035561825,0.3663133248171472,0.21020456292952108,160
nsga2,295,0.27923972525087015,0.14192041831375407,0.36478796681785625,0.20933454067360968,160
nsga3,0,0.0013324629558374233,0.0064315868089087425,1.0191952431709548,0.12673987219156985,640
nsga3,1,0.0024141196087820197,0.009213764954559158,0.9987405870380094,0.1401407719738269,640
nsga3,5,0.0074895888133686295,0.01954261627885393,0.9531063451509171,0.17465767902742801,640
nsga3,10,0.01443446947737386,0.031106592476064406,0.9110716684596628,0.2010124792926869,640
nsga3,15,0.024069248371283644,0.045911936627636325,0.8702315909630339,0.22784840947367052,640
nsga3,20,0.03708829359891717,0.0634082173367441,0.8263657135648117,0.25290981082461045,640
nsga3,25,0.05346362596909075,0.08268967661939952,0.7778563118169756,0.27435372238336714,640
nsga3,30,0.07309208469975553,0.10276735383920844,0.7264392550217897,0.2917630489795885,640
nsga3,35,0.09571301101541255,0.12143284021893326,0.6739384485898917,0.30697897895003473,640
nsga3,40,0.11905368583518365,0.13588955919185222,0.6232159216911446,0.3146197761121837,640
nsga3,45,0.14244045295240898,0.14748340244389763,0.5766980420919479,0.3184942359640629,640
nsga3,50,0.16517444217563793,0.15656433935143393,0.5335143367084821,0.3179346151522358,640
nsga3,55,0.1881823901515089,0.16483700139926016,0.493159694567758,0.31543901770050914,640
nsga3,60,0.2086820567244657,0.169864921560243,0.4572440266726014,0.30884036834373224,640
nsga3,65,0.22755121409475315,0.17372111979301721,0.4267603483145776,0.3019888639103729,640
nsga3,70,0.2462439405271363,0.17592676988862038,0.3971578114172344,0.2934422560256698,640
nsga3,75,0.26256533328431353,0.17685571841654704,0.3716434918299502,0.28381654112126864,640
nsga3,80,0.2775900663853129,0.17727670932287656,0.34913079111139095,0.27429743806002305,640
nsga3,85,0.29067659445434507,0.1765425300848424,0.33087027047401624,0.2657184145738289,640
nsga3,90,0.3035441778125332,0.17552918038747697,0.3124844772727096,0.25621578082441393,640
nsga3,95,0.31576157093190516,0.17384998459057346,0.2965774952292096,0.2475285868119513,640
nsga3,100,0.32687750199778787,0.17183234951427726,0.2813750722683886,0.23764312048571898,640
nsga3,105,0.3369316100027856,0.17015297976859547,0.2692067919836809,0.23057602549232975,640
nsga3,110,0.3461666122035082,0.1690011817138101,0.25866293600332274,0.22500697178711407,640
nsga3,115,0.35459676779130417,0.16712648239415198,0.24831053425565974,0.21813784583376972,640
nsga3,120,0.3621273936112805,0.16525285447379295,0.23974326449070812,0.2126685592784513,640
nsga3,125,0.36860686476099014,0.16397611026890116,0.23279522922002044,0.2083947590467563,640
