algorithm,group_name,scenario_type,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
moead,main_50_5,multi_hotspot_boundary,170,0.0036274500528625415,0.007951135744469906,0.7710573883767521,0.06629618629280991,80
moead,main_50_5,multi_hotspot_boundary,175,0.0036152380120037394,0.007967796873349252,0.7696404067342939,0.06555102396569457,80
moead,main_50_5,multi_hotspot_boundary,180,0.0038668432843510132,0.008199432323729121,0.7672176332434197,0.06565684731948647,80
moead,main_50_5,multi_hotspot_boundary,185,0.004159318641329732,0.008269039140267003,0.7651736302354417,0.06560568110626362,80
moead,main_50_5,multi_hotspot_boundary,190,0.004187062294129875,0.00838350377827765,0.7634518852320767,0.06555268151118392,80
moead,main_50_5,multi_hotspot_boundary,195,0.004348361714069241,0.008665467192322408,0.7624504056236846,0.06572700093097553,80
moead,main_50_5,multi_hotspot_boundary,200,0.004697299448092987,0.008977719994348694,0.7606447815856126,0.06675317183145571,80
moead,main_50_5,multi_hotspot_boundary,205,0.004845454998868776,0.009139021802623085,0.7599589803973723,0.06710682398074706,80
moead,main_50_5,multi_hotspot_boundary,210,0.0049065075054174285,0.009178186646057879,0.7589335201202397,0.06662745517631917,80
moead,main_50_5,multi_hotspot_boundary,215,0.005310590537817037,0.009468573508386056,0.7572621476296598,0.06629681963655756,80
moead,main_50_5,multi_hotspot_boundary,220,0.005532280225814611,0.009686193991745045,0.7556640768359328,0.06647444845549316,80
moead,main_50_5,multi_hotspot_boundary,225,0.005766451300973743,0.010202915338562274,0.7539671525657015,0.06653880869777963,80
moead,main_50_5,multi_hotspot_boundary,230,0.005920488872415571,0.010449798442006516,0.7528077502660724,0.06675827036193105,80
moead,main_50_5,multi_hotspot_boundary,235,0.006130008063894612,0.010741407336451857,0.7514049912515415,0.06635911550703627,80
moead,main_50_5,multi_hotspot_boundary,240,0.006202490249883131,0.010764154500407073,0.7504847398077187,0.06621311645113825,80
moead,main_50_5,multi_hotspot_boundary,245,0.006243863613748533,0.010840377711424234,0.7503330190946504,0.06612114016407537,80
moead,main_50_5,remote_hotspot,0,0.002888954493691804,0.005379234562538782,0.9155075933960415,0.1251062718282394,80
moead,main_50_5,remote_hotspot,1,0.008219220486181074,0.013812168954885984,0.8573503793762839,0.15425604192872247,80
moead,main_50_5,remote_hotspot,5,0.014857168287042078,0.01877248864263992,0.8078590854442818,0.1690481619066597,80
moead,main_50_5,remote_hotspot,10,0.019573383992360426,0.022093129679632985,0.7757625446715541,0.17203738111397993,80
moead,main_50_5,remote_hotspot,15,0.024888893507436064,0.027201445643100973,0.7498374980436284,0.17673122225947394,80
moead,main_50_5,remote_hotspot,20,0.026768500399907986,0.02805559696442581,0.7348177110387343,0.1693069819525721,80
moead,main_50_5,remote_hotspot,25,0.029458249842469985,0.028830310323674488,0.7187439121961522,0.16471746720657862,80
moead,main_50_5,remote_hotspot,30,0.03231570711368478,0.03011566129575446,0.7047019720877394,0.16055132563114932,80
moead,main_50_5,remote_hotspot,35,0.034299666606168136,0.03075849615747474,0.6938976521439182,0.1581618249630292,80
moead,main_50_5,remote_hotspot,40,0.036278690553507506,0.030738593792253632,0.6863122375615,0.15508292083340078,80
moead,main_50_5,remote_hotspot,45,0.038123674410499485,0.032224237511258046,0.6795706618378548,0.15392623368880848,80
moead,main_50_5,remote_hotspot,50,0.040429689832862825,0.03354550269288481,0.6708655601154031,0.15289481248708844,80
