scenario_name,scenario_id,solution_type,uav_name,sortie_index,step,node_id,x,y,is_key,is_depot
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,17,48,666.566260739618,1021.2160621140515,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,18,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,0,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,1,49,1152.7962586932251,771.9853439786091,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,2,4,1338.1832034881033,776.335405629399,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,3,3,1419.1750052774232,1140.6517127112452,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,4,5,1532.1329030660822,918.94027249297,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,5,6,1553.612896640797,925.0742550937832,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,6,14,1501.759477945836,1033.6081810733397,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,7,12,1615.2005888210676,932.9745802800874,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,8,47,1002.5952466458549,808.201718296212,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_1,1,9,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,0,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,1,26,423.7623162572689,1409.9477610464292,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,2,20,489.24890999002736,1397.5815889621379,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,3,23,450.4512898931823,1523.9596603113077,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,4,27,529.5908313962204,1552.708661549952,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,5,22,756.4259463426968,1423.8141747016605,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,6,18,826.9796996250997,1265.7707876231493,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,7,19,745.7662851175909,1368.4301209614168,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,8,17,683.9478273964222,1339.1583335439536,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,9,24,529.0168259538846,1287.5804724353675,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,10,25,448.6794554212021,1351.5549146633261,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,11,21,475.8703324734075,1398.2937384724148,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,12,28,567.3252942718239,1052.4177383960969,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,13,48,666.566260739618,1021.2160621140515,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,14,46,675.0434718685004,970.9611980981214,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,15,31,559.5342382579827,1349.650630623533,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,16,29,650.949767284838,1303.0682406577316,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_2,1,17,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,0,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,1,9,1524.599077348726,888.239515051292,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,2,7,1446.1931595284316,845.0360933919435,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,3,50,1072.219512352847,1125.815942667458,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,4,15,1235.3871558780843,1037.9497029792788,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,5,16,1318.7473671935243,1063.7542933363327,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,6,13,1384.1593451023757,934.6007607578123,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,7,11,1362.7162511711717,931.9663162946174,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,8,2,1421.2178733349072,913.0571141264852,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,9,1,1486.1517587264354,940.6511463322308,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,10,45,1196.3950271261817,823.8410168309472,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,11,8,1397.276452994351,772.3556432942769,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,12,10,1167.2628726011133,884.5604833125386,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_3,1,13,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,0,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,1,39,836.5893367328739,712.9842762603334,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,2,30,613.9900707531104,1462.5422006296055,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,3,36,900.6632384651133,440.6469465860443,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,4,43,592.9702882873563,724.7685158895465,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,5,33,363.4637686779328,624.6122688530543,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,6,34,638.7118988766566,591.7620354876037,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,7,32,723.5984983095079,618.1096734684103,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,8,38,769.1859173973152,560.0761716955004,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,9,41,797.8251544120925,566.3941381148018,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,10,35,794.4957561024969,505.5829229257529,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,11,44,769.904757483404,642.5078316477795,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,1,12,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,2,0,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,2,1,42,868.4802144684005,498.48448624325005,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,2,2,37,784.0981648464003,346.2882838455325,True,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,2,3,40,810.3069319747664,259.8439929232238,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,uav_4,2,4,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,balanced,uav_1,1,0,0,900.0,900.0,False,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,balanced,uav_1,1,1,30,613.9900707531104,1462.5422006296055,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,balanced,uav_1,1,2,20,489.24890999002736,1397.5815889621379,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,balanced,uav_1,1,3,26,423.7623162572689,1409.9477610464292,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,balanced,uav_1,1,4,23,450.4512898931823,1523.9596603113077,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,balanced,uav_1,1,5,27,529.5908313962204,1552.708661549952,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,balanced,uav_1,1,6,21,475.8703324734075,1398.2937384724148,False,False
