algorithm,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2,main_50_5,multi_hotspot_boundary,829183.126339373,75176.95753839963,826804.2410096318,0.4574000147332873,0.0822183080571728,0.4470280634452303,986.2719005939572,56.0471047219781,986.7714719313668,50.57428259962977,7.008761612958689,49.19593023407022,0.5684332707526308,0.0352518052156512,0.5622350958133592,0.0564696344151413,0.0169395264694835,0.0559199804391776,1.0,0.0,1.0,1.4125,2.380618354545726,0.0,868.0,0.0,868.0,6789.8875,182.03241426666295,6853.0,3424.8875,61.87790270969113,3454.0,0.5504024181998728,0.0641328758514293,0.5676006515627354,484134.6076166555,31229.79545296895,484450.33301934984,863.4713574140433,41.68424556027149,863.4959723783847,37.7728416771431,7.915856295361885,38.15204338021296,3024.3875,593.5139740088265,3063.5,7797.5875,77.80467430527551,7787.5,3127.0,648.6535284726353,3197.5,368.2875,197.17734363701624,342.5,4930.475,139.92194029172123,4931.0,5201.3125,68.95444034831985,5187.5,139.075,1.046123797645384,139.0,49.39280647602864,4.57932669996746,48.93891041656025,4.8875,0.3159806164941134,5.0,42.256003643,36.425406126932586,40.39502569,17.07525039993392,14.695515190117645,16.158010276,4.8875,0.3159806164941134,5.0,80
msd_ag_nsga2,main_50_5,remote_hotspot,1570313.6684427685,495410.7729785596,1498618.5670415964,0.1655645947164595,0.0466624213063055,0.1523557887585876,1106.0459711452766,116.70843281333754,1097.4306089540112,69.4705682659863,3.5262009888870165,69.82359030248087,0.613824347797424,0.0577134643634401,0.6376192354379369,0.0466497530385993,0.0121021261026685,0.0482467285940005,1.0,0.0,1.0,1.475,2.8634550808420234,0.0,868.0,0.0,868.0,6790.775,164.88882428776066,6844.0,2978.2,279.2057664160968,3002.0,0.2938198491992527,0.0435997129992794,0.2863811131936596,497373.2825776139,35993.636347604544,498564.1674786249,910.7177049969298,43.96706008504918,923.9588886487982,56.209922284957635,5.278826453160754,56.76135328255969,5265.375,526.0252697114464,5341.0,7788.375,83.63721883826602,7797.0,5850.4,553.3992365372399,5899.5,1679.725,576.634610802196,1663.0,5014.025,123.46800952068516,5021.5,5199.9,70.36771276658067,5201.5,139.05,1.2439855304624727,139.0,88.11906124579545,13.856764389100992,87.08874416653998,5.6125,0.7157819151110204,6.0,77.602674778375,66.95379660719148,86.79886222500002,30.374253790121116,25.722620896597924,33.90677860200001,4.9375,0.2420614591379635,5.0,80
msd_ag_nsga2,main_80_7,multi_hotspot_boundary,1359268.868494009,160192.5534951807,1333535.7318996184,0.4265837582361612,0.099252899785972,0.4237725548326285,1400.9776165033195,60.81590952137368,1401.5161776146747,80.07299691345304,10.949772925215797,83.26970011108206,0.6059665158501725,0.0454446122257706,0.6016401139503156,0.0485824138988043,0.0177290284420103,0.0490793648707608,1.0,0.0,1.0,6.95,13.849999999999998,1.0,1184.0,0.0,1184.0,9205.5375,320.30516479406015,9312.5,4717.375,49.672018028262144,4736.0,0.5105248775805505,0.1032151507941271,0.4831728274245457,799926.877349393,43751.730999721905,796903.9173224606,1257.5650165534075,36.27430718422621,1256.1525624922351,61.27119856501324,11.475187130877698,65.63107551526446,5342.7375,901.6577474816872,5269.0,10699.55,90.03372979056238,10705.5,5407.0625,925.426419870186,5325.0,744.8875,495.00265135022255,569.0,6948.7,111.2418985814248,6945.5,7137.425,75.80151301260418,7138.5,159.3875,0.8138450405329015,160.0,106.69077254838194,16.240031412467413,103.71092645800672,7.0,0.0,7.0,40.688033035125,36.96479581468976,34.72539082,14.880851843136316,13.323329241196646,14.319442092925255,7.0,0.0,7.0,80
msd_ag_nsga2,main_80_7,remote_hotspot,2001837.7585102643,412021.0651350708,1991629.1484030683,0.1744610355212709,0.0339939417072246,0.1677562359356698,1575.6145277501996,105.6463520054026,1577.116841248861,114.92166880707904,3.820266460945877,115.09463804242137,0.692708459131596,0.0413412448168418,0.6941940385422867,0.0378011444613212,0.0158555978133077,0.0397128086035296,1.0,0.0,1.0,6.45,9.822041539313505,2.0,1184.0,0.0,1184.0,9155.7,359.776541758909,9300.0,4481.6,165.7966073235517,4519.5,0.2697605228449266,0.029949297474368,0.2720717804510363,834000.6558314299,51492.49301893912,831287.4066864492,1360.942680473868,63.33454878162604,1362.9112882219051,98.03131533174611,3.6163756303164982,98.68290076912965,7642.2625,744.5732627443386,7805.0,10690.8,88.8963441318033,10694.5,8412.0,779.1682263799006,8625.0,2992.85,916.4131314532764,2923.0,6963.25,92.96740020028524,6955.5,7130.0625,75.07635176105723,7123.5,159.325,1.2121777922400656,160.0,195.56903495415173,44.10603942305977,188.79477827099615,7.7375,0.720134536041704,8.0,64.66066943237499,53.19238080567885,87.12443017999999,23.125525757216643,18.80549629252705,30.487199724534165,6.9625,0.1899835519196333,7.0,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,868939.20340853,98923.31970557236,877003.7371413248,0.4183969785283043,0.0892223164091464,0.4172877317580242,844.147710052114,57.999873155008984,857.9731039867928,51.28492229730075,6.846207651565632,51.413889357988424,0.6123407440185022,0.085787396088482,0.5773631306057522,0.0452856615702575,0.0215031372407386,0.0393853119731937,1.0,0.0,1.0,2.1625,4.877098907137316,0.0,868.0,0.0,868.0,6776.125,165.12202873935385,6831.5,3377.4875,94.5400700430775,3410.0,0.4898541755373761,0.0910705055653137,0.4805296252413005,457507.7736492002,22063.266606700938,455791.91681832774,755.7238470667922,48.62745441260705,766.3556941976944,38.90149814774594,8.147631286369913,37.31361565135683,2512.0875,753.0033896628554,2639.5,7779.75,67.9031479388106,7787.5,2578.8,776.442776384712,2692.0,345.1125,254.35521391107753,250.0,4988.65,91.3400377709578,4995.5,5198.7,69.197976849038,5195.0,138.8375,1.6081336231793677,139.0,38.173943790083285,3.280722059438066,38.09229129145387,3.9375,0.2420614591379635,4.0,12.33819314,22.076854706543394,0.0,5.342594348019445,9.559558505762311,0.0,3.9375,0.2420614591379635,4.0,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,1281048.7126790383,368488.7708589073,1166353.4258357314,0.1832135978106561,0.0470847199823212,0.1842313798446331,953.403373819092,97.41310187389844,952.9127191489454,70.14001127737386,3.413117948709085,69.23380079166469,0.6752361238565956,0.075129774864306,0.6845967632996143,0.0360416682040094,0.0159483932055155,0.033638559812486,1.0,0.0,1.0,6.0875,10.133106322840987,2.0,868.0,0.0,868.0,6530.175,257.3630108912312,6554.5,2864.1375,267.4012782201125,2879.0,0.2802785162924003,0.0352118376822747,0.273913423926474,501604.29685501865,46707.61292799677,500007.38965128025,818.416822415266,42.58370422076681,826.9368712061198,59.05120836699816,4.7935877629315415,58.93965326608773,4279.675,767.4394564882626,4434.0,7803.45,73.91124745260358,7803.5,4748.0125,884.9201304884808,4905.5,1620.8125,779.1420456782897,1384.0,4990.725,114.15887777566842,5004.0,5198.325,59.70045540027312,5197.0,138.5125,1.332232618576801,139.0,60.484479105783976,10.885144609905788,58.02680135448463,4.5625,0.6091746465505602,4.5,50.667456381250005,51.21457932281996,59.42122585000001,22.098584091258665,22.33010491170498,25.73014555505629,3.9875,0.1111024302164448,4.0,80
nsga2,main_30_3,multi_hotspot_boundary,536084.6257503546,58874.35534036715,529619.2138238967,0.4406107093749621,0.091238118804448,0.4641481291041688,659.2703632916503,44.15097629064692,653.4976443095022,29.230239440052145,4.820932607255551,28.292759477696556,0.4744213467920325,0.0960873015147578,0.4858907650954042,0.104245164990104,0.052950489666133,0.0912382322445216,1.0,0.0,1.0,,,,,,,,,,,,,0.5387436858065991,0.0848019730489048,0.5425188362164088,264492.91538662027,35700.99836724876,261898.74797292668,592.7895286989444,46.98565464749295,592.5929680027141,20.612660519104153,5.691600512639734,18.928208828365985,,,,,,,,,,,,,,,,,,,118.875,1.0650704202070396,119.0,6.698210204689531,0.8046893623912483,6.506362207932398,3.0125,0.1111024302164448,3.0,3.17456777775,12.610195544292486,0.0,1.4965056019888892,5.944503187638401,0.0,3.0,0.0,3.0,80
nsga2,main_30_3,remote_hotspot,800521.8067823036,221861.61782804775,701703.0443515636,0.1844966852508941,0.0512112909253694,0.1816856386661455,762.9900124220427,78.91507421322304,761.3286344627747,41.19626437136226,2.514647274317342,40.98608115505475,0.5514573281019819,0.056521188276446,0.5467324446670476,0.0713333774901118,0.0352140082252296,0.0677206511408861,1.0,0.0,1.0,,,,,,,,,,,,,0.3267007913624369,0.0457167323353883,0.3216206324571681,312649.7523395453,67980.85065224081,296313.1293549682,658.9776459777844,65.15403490519485,659.2194935046762,32.11042288856784,3.1282449016067555,31.978982518917867,,,,,,,,,,,,,,,,,,,118.95,1.2932517156377563,119.0,9.16265399060794,1.557407142626506,8.730681500048377,3.5375,0.5230618988226919,4.0,51.25127103449999,53.05187413719514,65.522811055,24.048608487542953,24.83749489033666,30.88774934626359,2.9875,0.1111024302164448,3.0,80
nsga2,main_50_5,multi_hotspot_boundary,887117.3338064663,86579.64339173623,868357.867386124,0.4340859900107588,0.0643188285706807,0.4513701675490698,1145.2324555813034,57.34248939242374,1143.4013033240594,49.90540640956933,6.925028773309682,50.58625649553886,0.3562747240788109,0.0708491719320607,0.3555712664354046,0.1925360970584353,0.0609398606332444,0.1893053247888018,1.0,0.0,1.0,,,,,,,,,,,,,0.5017056734693087,0.0649782490427518,0.4980504587967429,530813.582461779,69896.48690910246,518914.13604743825,1070.4917388340084,64.59375168291017,1074.4489004205484,38.524134833464856,8.341658475960356,38.34991349190151,,,,,,,,,,,,,,,,,,,139.025,1.1065147988165362,139.0,18.29251504015119,2.7839839449671335,18.02133347943891,5.0125,0.1111024302164448,5.0,3.07676345775,12.106435952573245,0.0,1.2307053831,4.842574381029297,0.0,5.0,0.0,5.0,80
nsga2,main_50_5,remote_hotspot,1563158.0116686237,445928.9358778088,1497812.8020091224,0.1691667824927999,0.0452604654920126,0.160072193566895,1258.3536257683222,95.37872298063388,1251.278565744896,69.5921225874379,3.939216354687414,69.95538045810304,0.5215581922353251,0.0580049066033729,0.5182261083703937,0.0857094670668283,0.0385268017696152,0.0754642599354912,1.0,0.0,1.0,,,,,,,,,,,,,0.3118041606101083,0.0456732352044096,0.2965067144223793,610514.7212440387,56475.102528037605,608277.2533292979,1080.650383073791,63.66126144628484,1079.002080316943,55.09295590476289,5.682524406100109,55.11324544410208,,,,,,,,,,,,,,,,,,,139.625,0.6590713163232034,140.0,30.57457417292171,5.077753068604732,29.933635520515963,5.9375,0.5775757526073961,6.0,97.021701187375,53.651357549392145,107.794216195,39.32868324070775,21.66557546897094,43.941698937799345,4.975,0.1561249499599599,5.0,80
nsga2,main_80_7,multi_hotspot_boundary,1522295.1873980835,241871.0204495322,1471571.206797286,0.3939885545540101,0.0780299480093975,0.3757832718902165,1730.0050289954202,133.06498194270137,1702.5641588578485,80.17835042790755,10.520542521635882,83.64980882333461,0.2551344091560356,0.1096994536981796,0.2558444477427898,0.3427843646649158,0.130530447932952,0.3237906855572394,1.0,0.0,1.0,,,,,,,,,,,,,0.4513609808517808,0.0799199709998406,0.4355468507285604,1026879.1215423344,158326.8932902865,999266.1983245488,1654.5245986226844,124.70763559633691,1644.2350555478756,64.2380292444426,10.98615966534709,68.56345762025556,,,,,,,,,,,,,,,,,,,158.8875,1.3873873828170704,159.0,61.80552067809913,18.65627577279792,57.34757706243545,7.4375,0.7557074500095919,7.0,28.054747268499995,42.08903105522075,0.0,10.40529482913613,15.81383576788277,0.0,7.0,0.0,7.0,80
nsga2,main_80_7,remote_hotspot,3361243.9527352736,1025021.64248299,3179597.2716289535,0.1854154965118092,0.0297291481878173,0.1804276096378396,2210.5955464694116,272.56170755829476,2229.50352433181,112.69178280968217,4.423428061752086,113.62928523344154,0.3053092620655112,0.1641964146128488,0.3154444901505433,0.3843119195459904,0.2628795613233216,0.2983816859480427,1.0,0.0,1.0,,,,,,,,,,,,,0.2631942584332386,0.0272446480508477,0.2626967308670725,2282116.6758153103,1077948.7037748536,2155970.277835449,2061.8186712147226,291.10502141022215,2089.662883570852,98.85371398466256,5.765562819211718,98.80740363710731,,,,,,,,,,,,,,,,,,,158.425,1.6939229616484923,159.0,81.60582727493893,24.417463308840645,77.06039343751036,10.2875,1.4848716274479756,10.0,143.774226919375,39.13094312708275,142.902693495,55.6449126828893,13.873545466470118,56.76873972964964,7.0,0.0,7.0,80
nsga2,mechanism_50_4,multi_hotspot_boundary,983849.5899215626,184146.06670585135,959343.2066708223,0.3947461889401117,0.0891694323279333,0.4011182346865671,1018.2782865169908,98.2476596808322,1006.7127514751166,50.98003328118314,7.439078709919383,50.34027744204249,0.331207553711246,0.1733912497378278,0.3422952199880846,0.2563929131425701,0.1614645433421047,0.1937857764920763,1.0,0.0,1.0,,,,,,,,,,,,,0.4604130267165772,0.0835699861488479,0.45712323257449,617217.9942517162,147459.21277869478,582569.2193146553,955.409793431384,91.78972765035992,939.8839078070594,40.30469761660805,7.954226227325378,41.050744889011426,,,,,,,,,,,,,,,,,,,138.475,1.7533895745098975,139.0,19.328200967155865,3.5118691766708268,18.632151937461455,4.525,0.6887488656977956,4.0,34.387298739875,42.82537192598754,0.0,14.946421403610632,18.53836880110915,0.0,4.0,0.0,4.0,80
nsga2,mechanism_50_4,remote_hotspot,1806707.0169100151,675579.7209440916,1821869.7630438544,0.1885284429786013,0.0371850817790559,0.1864677108298237,1196.7673390512005,183.8135210662154,1213.4275682594862,69.983289567498,3.858889491104227,69.59714089145885,0.3910404217562266,0.1903455874591258,0.4169310158997482,0.2590640309104099,0.2062957923184937,0.1948399313299714,1.0,0.0,1.0,,,,,,,,,,,,,0.2711785648654417,0.0338002651948526,0.2692357102991867,1075469.7614563336,576107.5351709098,890401.3802504411,1092.363447628054,182.83057420426465,1106.3599722730169,59.91267653252952,5.459191240790078,59.81845438817393,,,,,,,,,,,,,,,,,,,138.6375,1.637404577372373,139.0,23.06830318698776,6.040788861759055,22.04503118735738,5.6,1.1357816691600546,5.5,103.775618444125,59.421088138832594,120.47823911,44.44016972783531,25.829310812277956,51.05777137486383,4.0,0.0,4.0,80
nsga3,main_30_3,multi_hotspot_boundary,515564.6572232956,50276.21500588392,510835.27444055525,0.4555815619665724,0.0974613967576353,0.4791793352171911,646.6787730565741,45.06352281025624,651.242662850088,28.813956528519025,5.20261077072227,28.402025757548294,0.5102837897086998,0.0930493734865017,0.5132559840247459,0.0746176545575142,0.0446094195961746,0.0590224248828636,1.0,0.0,1.0,,,,,,,,,,,,,0.5429545635516143,0.0989140705888554,0.5558013987062778,285545.900699264,34328.29756658784,279206.41307130107,586.1135909792052,53.76499826293424,585.329176338443,20.99989505280508,6.319039716544506,18.39251129381632,,,,,,,,,,,,,,,,,,,116.8625,2.0232631440324313,117.0,6.609345898460015,0.7528241162668113,6.558288478991017,3.0,0.0,3.0,8.864269251875,23.178443259141645,0.0,4.178656598842812,10.926422937257785,0.0,3.0,0.0,3.0,80
